CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
1831X8M7HFM1310,"1800 1.1/4""x1.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-29,2023-08-01 11:26:26.560,,61569,,,717.0
2828D1R1RAM1014,"2800 1""D2"" 150(RF)x150(RF)",1.0,2023-09-29,2023-08-01 11:26:33.763,,61565,,,1133.05
1717D8M7HAM1325,"1700 1/2""x1"" BSPT(M)xBSP(H) Tob 1"" Std.",1.0,2023-09-25,2023-07-26 08:08:11.700,,61477,,,424.15
1825X8M7HAM1310,"1800 1""x1"" BSPT(M)xBSP(H)",1.0,2023-09-25,2023-07-26 08:08:12.513,,61478,,,507.45
2451L2R1RGM1012,"2400 3""L4"" 300(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-12 15:38:12.860,,61411,,,4789.4
2451L2R1RGM1012,"2400 3""L4"" 300(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-12 15:38:13.507,,61412,,,4789.4
2451L2R1RGM1012,"2400 3""L4"" 300(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-12 15:38:14.243,,61413,,,4789.4
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-09-25,2023-04-19 10:38:01.630,,60761,,,3355.8
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-09-25,2023-04-19 10:38:02.170,,60762,,,3355.8
2842J1R1RFM1010,"2800 2""J3"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-27 15:19:45.610,,61522,,,2081.0
2842J1R1RFM1010,"2800 2""J3"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-27 15:19:46.347,,61523,,,2081.0
2851L1R1RFM1010,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-13 07:41:27.780,,61415,,,3771.0
2851L1R1RFM1010,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-25,2023-07-13 07:41:28.437,,61416,,,3771.0
3515R3Z1,AC/R-500 BSP H-H Punta eje libre g.indist.,1.0,2023-09-25,2023-07-12 15:38:11.263,,61409,,,733.04
3515R3Z1,AC/R-500 BSP H-H Punta eje libre g.indist.,1.0,2023-09-25,2023-07-12 15:38:11.940,,61410,,,733.04
1840X8M7HFM1310,"1800 2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-24,2023-07-12 07:23:02.253,,61399,,,870.4
1840X8M7HFM1310,"1800 2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-24,2023-07-12 07:23:03.120,,61400,,,870.4
1840X8M7HFM1310,"1800 2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-24,2023-07-12 07:23:03.900,,61401,,,870.4
1840X8M7HFM1310,"1800 2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-24,2023-07-12 07:23:06.023,,61402,,,870.4
2628D1R1RAM1014,"2600 1""D2"" 150(RF)x150(RF)",1.0,2023-09-24,2023-07-12 07:23:00.693,,61397,,,1514.54
2628D1R1RAM1014,"2600 1""D2"" 150(RF)x150(RF)",1.0,2023-09-24,2023-07-12 07:23:01.503,,61398,,,1514.54
2828D1R1RAM1010,"2800 1""D2"" 150(RF)x150(RF)",1.0,2023-09-23,2023-07-26 08:08:16.260,,61492,,,1133.02
2828D1R1RAM1010,"2800 1""D2"" 150(RF)x150(RF)",1.0,2023-09-23,2023-07-26 08:08:17.047,,61493,,,1133.02
1841X8M7HAM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H).",1.0,2023-09-19,2023-07-21 14:01:18.873,,61449,,,899.3
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-09-19,2023-06-22 12:25:57.977,,61266,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-09-19,2023-06-22 12:25:58.667,,61267,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-09-19,2023-06-22 12:26:00.863,,61270,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-09-19,2023-06-22 12:26:01.580,,61271,,,1480.8
1821X8M7HFM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-18,2023-07-06 10:54:38.643,,61354,,,539.75
1831X8M7HFM1310,"1800 1.1/4""x1.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-18,2023-08-01 11:26:25.157,,61567,,,645.3
1831X8M7HFM1310,"1800 1.1/4""x1.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,2023-09-18,2023-08-01 11:26:25.890,,61568,,,645.3
2828E1R1RKM1010,"2800 1""E2"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-18,2023-07-14 08:06:56.550,,61418,,,1418.0
2828E1R1RKM1010,"2800 1""E2"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-18,2023-07-14 08:06:59.727,,61419,,,1418.0
1825X7M7HAM1310,"1800 1""x1"" BSP(M)xBSP(H).",1.0,2023-09-17,2023-07-21 14:01:15.597,,61445,,,537.3
1825X7M7HAM1310,"1800 1""x1"" BSP(M)xBSP(H).",1.0,2023-09-17,2023-07-21 14:01:16.560,,61446,,,537.3
1825X7M7HAM1310,"1800 1""x1"" BSP(M)xBSP(H).",1.0,2023-09-17,2023-07-21 14:01:17.357,,61447,,,537.3
1825X7M7HAM1310,"1800 1""x1"" BSP(M)xBSP(H).",1.0,2023-09-17,2023-07-21 14:01:18.123,,61448,,,537.3
2828D3J1RAM1010,"2800 1""D2"" 600(RTJ)x150(RF) sellada",1.0,2023-09-17,2023-07-21 14:01:22.430,,61437,,,1447.0
2836F2R1RAM1010,"2800 1.1/2""F2"" 300(RF)x150(RF)",1.0,2023-09-17,2023-07-19 14:47:57.550,,61438,,,1709.4
1725D9M9HSM1226,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std. sellada",1.0,2023-09-16,2023-07-04 09:33:23.143,,61349,,,1049.0
