X,y
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[13]
"[ 5  5 13 13 13 13 13 13  1  7  5  5 10 13 13  2  0  0 10  5 10 10  5  8
  8  2  2 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8
  5  1  7 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13 13 13 13  1  7  5  5 10 13 13  8  2  0  0 10  5 10 10  5  8  8  2  2
 10  8  8  8  0  0  0 10 10 19  8  2 13 13  8  2  2  4 12  8  8  5  1  7
 10 10  0  5  5  5  5 17  0]",[13]
"[13  1  7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2
  2 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13  8  8
  2  2  2  4  4  4 12  4  4  8  8  5  0  1  7 10 10 10 13 13 12  0  0  5
  5  5  5 17 19  0  8]",[13]
"[ 1  7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2
  2 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8
  8  2  2  2  2  4  4  4 12  4  4  2  8  8  5  0  2  1  7 10 10 10 13 13
 12 12  0  0  5  5  5  5 17 19  0  8]",[1]
"[ 7  5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2
 10  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8
  2  2  2  2  4  4  4 12  4  4  2  8  8  5  0  2  1  7 10 10 10 13 13 12
 12  0  0  5  5  5  5 17 19  0  8]",[7]
"[ 5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10
  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2
  2  2  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12
 12  0  0  5  5  5  5  5  5 17 19  0  8]",[5]
"[ 5  5 10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10
  8  8  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2
  2  2  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12
 12  0  0  5  5  5  5  5  5 17 19  0  8]",[5]
"[10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10  8  8
  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2  2  2
  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12 12  0
  0  5  5  5  5  5  5 17 19  0  8]",[10]
"[10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10  8  8
  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2  2  2
  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12 12  0
  0  5  5  5  5  5  5 17 19  0  8]",[10]
"[10 10 10 13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10  8  8
  8  8  8  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2  2  2
  2  4  4  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12 12  0
  0  5  5  5  5  5  5 17 19  0  8]",[10]
"[13 13  8  2  2  0  0 10  5 10 10  5  8  8  2  2  2  2 10  8  8  8  8  8
  0  0  0 10 10 10 10 19 10  8  2 13 13 13 13 13  8  8  2  2  2  2  4  4
  4 12  4  4  2  8  8  5  0  0  2  1  7 10 10 10 13 13 12 12  0  0  5  5
  5  5  5  5 17 19  0  8]",[13]
