PEDIDO,FE_EMIT,FE_ENTREGA,X,y
56415,737363,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56416,737363,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56394,737351,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56395,737351,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56382,737344,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56449,737370,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[12]
56471,737374,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56409,737360,737393,"[ 6  5  4  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12
 12 12 12 12 12 12]",[6]
56477,737379,737393,"[ 6  5  4  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12
 12 12 12 12 12 12]",[5]
56422,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56424,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56423,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56426,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56421,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56481,737379,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[6]
56425,737371,737394,"[ 4  4  4  4  4  6  4  0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6
  6  6 11 12 11  5 12 12 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[4]
56532,737394,737396,"[ 0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12
 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[0]
56531,737394,737396,"[ 0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12
 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[0]
56491,737379,737396,"[ 0  0  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12
 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11
 12 12 12 12 12 12 12]",[5]
56402,737371,737397,"[ 5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12
  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12
 12 12 12 12]",[5]
56401,737371,737397,"[ 5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12
  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12
 12 12 12 12]",[5]
56334,737345,737399,"[11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12  6 20
 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12 12 12
 12 12]",[11]
56333,737345,737399,"[11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12  6 20
 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12 12 12
 12 12]",[11]
56332,737345,737399,"[11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12  6 20
 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12 12 12
 12 12]",[11]
56331,737345,737399,"[11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11  5 12 12 12 12  6 20
 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12 11 12 12 12 12 12
 12 12]",[11]
56499,737380,737400,"[ 6  6  9  9 12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6
  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6
  6 11 12 12 12 12 12 12 12]",[6]
56500,737380,737400,"[ 6  6  9  9 12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6
  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6
  6 11 12 12 12 12 12 12 12]",[6]
56479,737380,737400,"[ 6  6  9  9 12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6
  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6
  6 11 12 12 12 12 12 12 12]",[9]
56478,737380,737400,"[ 6  6  9  9 12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6
  9  9  9  9  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6
  6 11 12 12 12 12 12 12 12]",[9]
56506,737386,737401,"[12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9
  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12
 12 12 12 12 12]",[12]
56505,737386,737401,"[12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9
  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12
 12 12 12 12 12]",[12]
56502,737388,737401,"[12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9
  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12
 12 12 12 12 12]",[6]
56501,737380,737401,"[12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9
  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12
 12 12 12 12 12]",[6]
56553,737400,737401,"[12 12  6  6  5  6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9
  6 12 12 12  6 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12
 12 12 12 12 12]",[5]
56483,737379,737402,"[ 6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6
 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12 12 12 12 12 12]",[6]
56482,737379,737402,"[ 6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6
 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12 12 12 12 12 12]",[6]
56485,737380,737402,"[ 6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6
 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12 12 12 12 12 12]",[11]
56468,737379,737402,"[ 6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6
 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12 12 12 12 12 12]",[12]
56484,737380,737402,"[ 6  6 11 12 11  5 12 12 12 12  6 20 20  6  6  9  9  9  9  6 12 12 12  6
 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6 11 12 12 12 12 12 12 12]",[11]
56519,737393,737406,"[ 5 12 12 12 12  4  6 20 20  6  6  9  9  9  9  6 12 12 12  6 12 12 12 12
 12 12  6  6  6  6  6  6  6  6  6  6  6 11  6  0 12 12 12 12 12 12 12]",[5]
