codigos,Tiempos,Cant_piezas,T_Fabricacion,T_Ciclo,maquina
D-13458-T1,2023-05-10 11:36:00.957,6,96.0,16.0,CN4
D-18245-T1,2023-05-11 13:50:01.477,3,84.0,15.0,CN4
D-16249-T2,2023-05-11 15:04:26.010,3,74.0,24.0,CN4
D-16249-T2,2023-05-11 16:49:53.743,1,105.0,15.0,CN4
D-13459-T2,2023-05-11 19:43:29.443,5,174.0,34.0,CN4
D-13254-T2,2023-05-11 12:25:53.013,2,146.0,15.0,CN4
D-13458-T2,2023-05-12 12:36:05.397,3,84.0,15.0,CN4
D-13458-T1,2023-05-12 15:26:19.337,4,170.0,15.0,CN4
D-13462-T1,2023-05-12 18:56:26.627,19,210.0,11.0,CN4
D-13459-T2,2023-05-12 11:12:26.880,2,72.0,34.0,CN4
D-13381-T1,2023-05-13 13:05:20.833,1,19.0,15.0,CN4
D-13462-T2,2023-05-13 15:54:36.533,18,169.0,15.0,CN4
D-13462-T1,2023-05-13 12:46:21.743,13,166.0,15.0,CN4
D-13462-T1,2023-05-15 13:32:12.937,13,75.0,6.0,CN4
D-13381-T1,2023-05-15 15:01:44.697,12,90.0,7.0,CN4
D-13381-T2,2023-05-15 17:51:51.933,19,170.0,15.0,CN4
D-13249,2023-05-15 18:54:57.590,8,63.0,8.0,CN4
D-13462-T2,2023-05-15 12:17:09.040,16,137.0,9.0,CN4
D-13239,2023-05-16 11:23:41.153,15,60.0,4.0,CN4
D-13249,2023-05-16 11:44:52.643,4,21.0,5.0,CN4
D-13254-T1,2023-05-16 13:32:45.390,8,108.0,13.0,CN4
D-16249-T1,2023-05-16 14:14:17.990,3,42.0,15.0,CN4
D-13458-T1,2023-05-16 16:46:40.763,7,152.0,21.0,CN4
D-13458,2023-05-16 17:35:55.143,10,49.0,5.0,CN4
D-16249,2023-05-16 17:43:11.123,3,7.0,2.0,CN4
D-13254,2023-05-16 17:51:44.643,3,9.0,3.0,CN4
D-18213-T1,2023-05-16 18:29:19.507,2,38.0,15.0,CN4
D-16722-T1,2023-05-16 18:57:47.350,2,28.0,15.0,CN4
D-13249,2023-05-16 10:24:02.437,2,24.0,11.0,CN4
D-13254-T2,2023-05-17 14:25:41.707,5,156.0,31.0,CN4
D-13458,2023-05-17 18:59:59.917,12,274.0,23.0,CN4
D-16722,2023-05-17 11:49:20.353,2,109.0,52.0,CN4
D-13254-T2,2023-05-18 14:22:21.873,4,151.0,37.0,CN4
D-16249-T2,2023-05-18 16:19:55.953,4,118.0,29.0,CN4
D-16722-T2,2023-05-18 17:55:30.357,3,96.0,31.0,CN4
D-16249-T1,2023-05-18 18:43:59.040,4,48.0,12.0,CN4
D-16249-T2,2023-05-18 19:00:11.783,1,16.0,15.0,CN4
D-13458,2023-05-18 11:51:21.120,3,111.0,36.0,CN4
D-13254-T1,2023-05-19 14:39:14.397,7,102.0,15.0,CN4
D-13370-T1,2023-05-19 15:03:29.487,1,24.0,15.0,CN4
D-13458-T1,2023-05-19 16:17:08.673,2,74.0,15.0,CN4
D-13563-T1,2023-05-19 17:13:23.727,3,56.0,15.0,CN4
D-16237-T2,2023-05-19 18:58:22.210,28,105.0,4.0,CN4
D-16249-T2,2023-05-19 12:57:31.940,2,178.0,15.0,CN4
D-13458-T2,2023-05-22 11:53:59.533,2,92.0,15.0,CN4
D-13370-T2,2023-05-22 12:35:26.853,1,41.0,15.0,CN4
D-13254-T2,2023-05-22 14:27:34.350,4,112.0,27.0,CN4
D-13254,2023-05-22 14:43:38.250,3,16.0,5.0,CN4
D-13563-T2,2023-05-22 18:16:35.377,3,213.0,15.0,CN4
D-16722-T2,2023-05-22 18:58:04.840,1,41.0,37.0,CN4
D-16237-T2,2023-05-22 10:22:28.220,2,22.0,15.0,CN4
D-13254-T2,2023-05-23 13:57:06.447,4,175.0,15.0,CN4
D-13542,2023-05-23 14:17:11.597,3,20.0,6.0,CN4
D-13542,2023-05-23 14:39:31.427,5,22.0,4.0,CN4
D-13365-T1,2023-05-23 17:01:57.887,10,142.0,15.0,CN4
D-13249-T1,2023-05-23 17:42:45.077,4,41.0,15.0,CN4
D-13365-T2,2023-05-23 18:56:51.377,11,74.0,15.0,CN4
D-13249-T2,2023-05-23 20:54:23.310,5,118.0,15.0,CN4
D-16722-T2,2023-05-23 11:02:17.167,1,62.0,15.0,CN4
D-13543-T2,2023-05-24 13:25:43.240,5,44.0,15.0,CN4
D-16288,2023-05-24 13:57:11.870,2,31.0,15.0,CN4
D-16288-T1,2023-05-24 16:47:51.043,50,171.0,15.0,CN4
D-16288-T2,2023-05-24 17:29:14.427,55,41.0,1.0,CN4
D-13365-T2,2023-05-24 17:42:18.183,2,13.0,6.0,CN4
D-13113-T1,2023-05-24 18:58:14.727,5,76.0,15.0,CN4
D-13134-T1,2023-05-24 20:57:46.657,3,120.0,15.0,CN4
D-13543-T1,2023-05-24 12:41:18.410,3,161.0,15.0,CN4
D-13134-T2,2023-05-29 11:55:52.307,3,69.0,15.0,CN4
D-13113-T2,2023-05-29 13:56:27.183,6,121.0,15.0,CN4
D-16561-T1,2023-05-29 14:42:42.867,2,46.0,15.0,CN4
D-11507-T1,2023-05-29 16:19:07.250,4,96.0,15.0,CN4
D-11507-T2,2023-05-29 17:57:58.890,4,99.0,15.0,CN4
D-16561-T2,2023-05-29 18:57:32.927,3,60.0,15.0,CN4
D-12762-T1,2023-06-22 20:02:29.423,1,126.0,15.0,CN4
D-12762-T2,2023-06-22 20:59:28.573,2,57.0,15.0,CN4
D-12765-T1,2023-06-22 10:30:59.097,2,31.0,15.0,CN4
D-16478-T2,2023-06-23 15:12:50.463,2,128.0,15.0,CN4
D-16478-T1,2023-06-23 13:04:40.043,4,185.0,15.0,CN4
D-16478-T2,2023-06-24 13:15:25.377,4,195.0,15.0,CN4
D-16478-T1,2023-06-26 12:14:15.173,3,58.0,15.0,CN4
D-15512-T2,2023-06-26 13:11:15.610,2,57.0,15.0,CN4
D-12268-T1,2023-06-26 14:20:35.397,2,69.0,15.0,CN4
D-12268-T2,2023-06-26 15:09:20.980,3,49.0,15.0,CN4
D-16480,2023-06-26 16:59:09.977,6,110.0,18.0,CN4
D-18212,2023-06-26 18:02:35.337,6,63.0,10.0,CN4
D-18215,2023-06-26 18:23:35.280,4,21.0,5.0,CN4
D-18214-T1,2023-06-26 18:56:47.413,1,33.0,30.0,CN4
D-15118-T1,2023-06-27 12:15:02.247,9,98.0,15.0,CN4
