,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
3245,20107N965,PILOTO TIPO A. 50 A 110 BAR,1.0,[0. 0. 0. ... 0. 0. 0.],737523,737472,2020-08-03 14:10:09.523,56643,2023-06-10 10:00:00.000,2023-06-10 10:00:00.000,752.0
3246,2842J1R1RSM1010,"2800 2""J3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737520,737488,2020-07-29 14:31:17.483,56697,2021-11-18 10:00:00.000,2021-11-18 10:00:00.000,1320.0
3247,1836X2R7HFM1310,"1800 1.1/2""x2"" 300(RF)xBSP(H) con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737516,737488,2020-08-21 11:58:02.720,56706,2023-04-01 10:00:00.000,2023-04-01 10:00:00.000,943.0
3248,1836X2R7HFM1310,"1800 1.1/2""x2"" 300(RF)xBSP(H) con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737516,737488,2020-08-21 11:58:22.020,56705,2023-04-04 14:00:00.000,2023-04-04 14:00:00.000,943.0
3249,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737513,737488,2020-06-29 12:21:40.000,56694,2021-08-06 14:00:00.000,2021-08-06 14:00:00.000,616.0
3250,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737513,737488,2020-06-29 12:21:55.757,56693,2021-08-09 18:00:00.000,2021-08-09 18:00:00.000,616.0
3251,1836X9M9HSM1310,"1800 1.1/2""x2"" NPT(M)xNPT(H) SELLADA",1.0,[0. 0. 0. ... 0. 0. 0.],737511,737488,2020-07-15 07:32:12.163,56707,2021-10-07 10:00:00.000,2021-10-07 10:00:00.000,632.0
3252,1836X9M9HSM1310,"1800 1.1/2""x2"" NPT(M)xNPT(H) SELLADA",1.0,[0. 0. 0. ... 0. 0. 0.],737511,737488,2020-07-15 07:32:24.893,56698,2021-10-08 14:00:00.000,2021-10-08 14:00:00.000,632.0
3253,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737510,737476,2020-07-28 15:18:52.910,56659,2021-11-11 10:00:00.000,2021-11-11 10:00:00.000,616.0
3254,1827X9M9HAM1310,"1800 1""x1.1/2"" NPT(M)xNPT(H)",1.0,[0. 0. 0. ... 0. 0. 0.],737510,737472,2020-09-11 15:20:32.663,56650,2022-11-29 14:00:00.000,2022-11-29 14:00:00.000,561.0
