,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
1097,3620V7H1,"VA-1000 3/4"" BSP H-H punta de eje libre giro horario.",1.0,[0. 0. 0. ... 0. 0. 0.],738362,738323,2022-10-27 10:14:29.710,59684,2022-10-27 08:42:12.307,2022-10-27 10:14:02.237,2137.6
1098,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:35:59.683,59709,2022-11-11 06:59:35.720,2022-11-11 10:34:22.403,363.2
1099,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:37:35.923,59704,2022-11-11 06:59:35.720,2022-11-11 10:37:18.463,363.2
1100,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:39:55.120,59705,2022-11-11 06:59:35.720,2022-11-11 10:39:30.297,363.2
1101,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:41:33.240,59706,2022-11-11 06:59:35.720,2022-11-11 10:40:33.950,363.2
1102,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:42:15.587,59707,2022-11-11 06:59:35.720,2022-11-11 10:41:52.483,363.2
1103,1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:42:43.030,59708,2022-11-11 06:59:35.720,2022-11-11 10:42:32.490,363.2
1104,1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:37:03.150,59710,2022-11-11 06:59:35.720,2022-11-11 10:36:16.620,391.2
1105,1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738328,2022-11-11 10:33:27.910,59711,2022-11-11 00:00:00.000,2022-11-11 10:32:36.587,424.8
1106,1415X7H7HAM3021,"1400 1/2""x1/2"" BSP(H)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-06 07:20:42.957,59556,2022-12-06 07:04:19.967,2022-12-06 07:20:28.403,0.01
1107,1415X7H7HAM3021,"1400 1/2""x1/2"" BSP(H)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-06 07:24:49.037,59557,2022-12-06 07:04:21.677,2022-12-06 07:24:36.997,0.01
1108,1415X7H7HAM3021,"1400 1/2""x1/2"" BSP(H)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-06 07:24:19.410,59558,2022-12-06 00:00:00.000,2022-12-06 07:24:07.637,0.01
1109,1415X7H7HAM3021,"1400 1/2""x1/2"" BSP(H)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-06 07:21:18.440,59559,2022-12-06 07:04:21.677,2022-12-06 07:21:05.303,0.01
1110,3640VOH1,"VA-10000 2"" BSP H-H punta de eje libre giro horario",1.0,[0. 0. 0. ... 0. 0. 0.],738361,738326,2022-11-02 15:13:43.593,59696,2022-11-02 00:00:00.000,2022-11-02 15:13:24.770,5537.0
1111,3715C4Z5       ,AC-900 Motor Cliente c/by pass giro indistinto,1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-19 07:15:13.177,59560,2022-12-19 07:09:36.393,2022-12-19 07:14:57.873,2010.0
1112,3715C4Z5       ,AC-900 Motor Cliente c/by pass giro indistinto,1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-19 07:16:01.900,59561,2022-12-19 07:09:37.520,2022-12-19 07:15:38.203,2010.0
1113,3715C4Z5       ,AC-900 Motor Cliente c/by pass giro indistinto,1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-19 07:16:38.010,59562,2022-12-19 07:09:37.520,2022-12-19 07:16:22.203,2010.0
1114,3715C4Z5       ,AC-900 Motor Cliente c/by pass giro indistinto,1.0,[0. 0. 0. ... 0. 0. 0.],738361,738295,2022-12-19 07:17:27.140,59563,2022-12-19 07:09:37.520,2022-12-19 07:16:55.553,2010.0
1115,1841X8M7HAM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H).",1.0,[0. 0. 0. ... 0. 0. 0.],738358,738326,2022-11-08 07:17:38.930,59695,2022-11-08 07:14:03.710,2022-11-08 07:17:12.357,865.8
1116,2136E4R2RAM3117,"2100 1.1/2""E2"" 900(RF)x300(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738358,738301,2022-11-29 07:22:16.903,59576,2022-11-29 07:14:30.527,2022-11-29 07:21:51.907,2064.75
1117,2136E4R2RAM3117,"2100 1.1/2""E2"" 900(RF)x300(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738358,738301,2022-11-29 07:23:14.583,59577,2022-11-29 07:14:33.087,2022-11-29 07:22:36.207,2064.75
1118,2842J1R1RAB1016,"2800 2""J3"" 150(RF)x150(RF) sello en Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738358,738301,2022-11-04 08:48:12.260,59584,2022-11-04 00:00:00.000,2022-11-04 08:46:17.347,1270.5
1119,2842J1R1RAB1016,"2800 2""J3"" 150(RF)x150(RF) sello en Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738358,738301,2022-11-04 08:50:07.880,59585,2022-11-04 08:24:41.477,2022-11-04 08:49:35.417,1270.5
1120,1835X7M7HAM1310,"1800 1.1/2""x1.1/2"" BSP(M)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738357,738321,2022-11-09 12:09:01.597,59663,2022-11-09 07:12:57.480,2022-11-09 12:08:40.267,494.4
1121,1835X7M7HAM1310,"1800 1.1/2""x1.1/2"" BSP(M)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738357,738321,2022-11-09 12:08:23.987,59664,2022-11-09 07:12:57.480,2022-11-09 12:08:04.240,494.4
1122,1835X7M7HAM1310,"1800 1.1/2""x1.1/2"" BSP(M)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738357,738321,2022-11-09 12:09:41.920,59665,2022-11-09 07:12:57.480,2022-11-09 12:09:17.100,494.4
1123,1827X9M9HAM1310,"1800 1""x1.1/2"" NPT(M)xNPT(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738356,738326,2022-11-02 15:01:48.643,59688,2022-11-02 00:00:00.000,2022-11-02 15:01:28.703,494.4
1124,1827X9M9HAM1310,"1800 1""x1.1/2"" NPT(M)xNPT(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738356,738326,2022-11-02 14:59:51.780,59687,2022-11-02 00:00:00.000,2022-11-02 14:59:30.293,494.4
1125,2842J1R1RFM3114,"2800 2""J3"" 150(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738356,738321,2022-11-16 10:06:25.460,59659,2022-11-16 07:15:41.857,2022-11-16 10:06:04.923,1912.0
1126,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738355,738326,2022-10-24 07:36:40.653,59689,2022-10-24 06:59:24.483,2022-10-24 07:36:14.343,677.6
1127,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738355,738326,2022-10-24 07:34:12.767,59690,2022-10-24 00:00:00.000,2022-10-24 07:33:25.623,677.6
1128,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738355,738326,2022-10-24 07:37:23.870,59697,2022-10-24 06:59:24.483,2022-10-24 07:37:03.160,677.6
1129,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738355,738326,2022-10-24 07:35:56.250,59698,2022-10-24 06:59:24.483,2022-10-24 07:35:32.437,677.6
1130,2842J2R1RFM1010,"2800 2""J3"" 300(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738355,738315,2022-11-07 15:14:46.230,59648,2022-11-07 12:00:01.097,2022-11-07 15:14:16.613,1529.6
1131,1425X7H7HAM1021,"1400 1""x1"" BSP(H)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738354,738321,2022-11-09 14:29:10.830,59653,2022-11-09 11:41:52.753,2022-11-09 14:28:56.257,313.6
1132,2128D2R1RAB1010,"2100 1""D2"" 300(RF)x150(RF) SELLO DE BUNA-N",1.0,[0. 0. 0. ... 0. 0. 0.],738354,738330,2022-11-16 10:07:57.220,59629,2022-11-16 07:15:45.147,2022-11-16 10:07:21.030,1152.9
1133,1836X8M7HFM1310,"1800 1.1/2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738350,738315,2022-11-14 13:55:26.990,59630,2022-11-11 15:47:16.513,2022-11-14 13:55:08.130,723.2
1134,1836X8M7HFM1310,"1800 1.1/2""x2"" BSPT(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738350,738315,2022-11-14 13:51:59.433,59631,2022-11-11 15:47:16.513,2022-11-14 13:51:32.523,723.2
1135,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738348,738321,2022-10-24 07:35:13.910,59651,2022-10-24 06:59:24.483,2022-10-24 07:34:30.147,677.6
1136,1841X7M7HFM1110,"1800 2""x2.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738348,738321,2022-11-01 11:51:52.580,59654,2022-11-01 11:38:51.127,2022-11-01 11:51:31.007,1329.6
1137,1841XZC7HFM1214,"1800 2""x2.1/2"" CLAMPxBSP(H) con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738348,738308,2022-11-03 14:03:32.950,59607,2022-11-01 11:38:51.127,2022-11-03 14:03:05.663,1939.0
1138,1841XZC7HFM1214,"1800 2""x2.1/2"" CLAMPxBSP(H) con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738348,738308,2022-11-03 14:04:11.527,59608,2022-11-01 11:38:51.127,2022-11-03 14:03:52.537,1939.0
1139,1841XZC7HFM1214,"1800 2""x2.1/2"" CLAMPxBSP(H) con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738348,738321,2022-11-01 11:50:22.713,59655,2022-11-01 00:00:00.000,2022-11-01 11:50:04.817,1550.4
1140,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:16:27.893,59456,2022-10-20 07:21:51.660,2022-10-20 14:16:10.457,666.0
1141,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:15:12.247,59454,2022-10-20 00:00:00.000,2022-10-20 14:14:05.650,666.0
1142,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:15:52.483,59455,2022-10-20 07:21:51.660,2022-10-20 14:15:36.980,666.0
1143,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:17:15.313,59457,2022-10-20 07:21:51.660,2022-10-20 14:16:49.963,666.0
1144,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:18:01.027,59458,2022-10-20 07:21:51.660,2022-10-20 14:17:44.667,666.0
1145,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:20:13.257,59459,2022-10-20 07:21:51.660,2022-10-20 14:19:51.380,666.0
1146,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:21:02.930,59460,2022-10-20 07:21:51.660,2022-10-20 14:20:49.013,666.0
1147,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:22:21.307,59461,2022-10-20 07:21:51.660,2022-10-20 14:21:56.503,666.0
1148,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:22:52.093,59462,2022-10-20 07:21:51.660,2022-10-20 14:22:38.800,666.0
1149,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:23:22.927,59463,2022-10-20 07:21:51.660,2022-10-20 14:23:09.490,666.0
1150,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:23:55.127,59464,2022-10-20 07:21:51.660,2022-10-20 14:23:42.007,666.0
1151,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:24:42.723,59465,2022-10-20 07:21:51.660,2022-10-20 14:24:20.740,666.0
1152,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:25:16.710,59466,2022-10-20 07:21:51.660,2022-10-20 14:25:01.697,666.0
1153,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:25:49.570,59467,2022-10-20 07:21:51.660,2022-10-20 14:25:34.263,666.0
1154,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:26:24.377,59468,2022-10-20 07:21:51.660,2022-10-20 14:26:12.587,666.0
1155,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:26:54.587,59469,2022-10-20 07:21:51.660,2022-10-20 14:26:42.807,666.0
1156,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:27:29.893,59470,2022-10-20 07:21:51.660,2022-10-20 14:27:15.887,666.0
1157,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:28:02.617,59471,2022-10-20 07:21:51.660,2022-10-20 14:27:48.090,666.0
1158,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:28:34.083,59472,2022-10-20 07:21:51.660,2022-10-20 14:28:21.350,666.0
1159,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:29:04.127,59473,2022-10-20 07:21:51.660,2022-10-20 14:28:52.103,666.0
1160,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:30:18.473,59474,2022-10-20 07:21:51.660,2022-10-20 14:30:04.600,666.0
1161,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:30:49.607,59475,2022-10-20 07:21:51.660,2022-10-20 14:30:36.313,666.0
1162,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:31:20.170,59476,2022-10-20 07:21:51.660,2022-10-20 14:31:07.250,666.0
1163,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:31:54.080,59477,2022-10-20 07:21:51.660,2022-10-20 14:31:41.450,666.0
1164,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:32:24.423,59478,2022-10-20 07:21:51.660,2022-10-20 14:32:11.817,666.0
1165,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:33:00.797,59479,2022-10-20 07:21:51.660,2022-10-20 14:32:45.447,666.0
1166,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:33:32.243,59480,2022-10-20 07:21:51.660,2022-10-20 14:33:18.223,666.0
1167,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:34:01.723,59481,2022-10-20 07:21:51.660,2022-10-20 14:33:49.857,666.0
1168,1625D1R1RSM1014,"1600 1"" x 1"" 150(RF) x 150(RF) Tob 1""Std. sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738278,2022-10-20 14:34:37.663,59482,2022-10-20 07:21:51.660,2022-10-20 14:34:21.760,666.0
1169,1841X8M7HFM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738294,2022-11-01 11:51:00.820,59546,2022-11-01 11:38:51.127,2022-11-01 11:50:38.900,1009.0
1170,2838G1R1RSM1010,"2800 1.1/2""G3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-14 15:15:20.077,59604,2022-10-14 15:14:33.017,2022-10-14 15:14:59.520,1336.0
1171,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:50:04.747,59594,2022-10-28 07:51:55.690,2022-10-28 11:49:51.860,253.6
1172,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:50:52.930,59595,2022-10-28 07:51:56.377,2022-10-28 11:50:24.533,253.6
1173,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:51:23.563,59597,2022-10-28 07:51:56.377,2022-10-28 11:51:09.197,253.6
1174,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:51:53.377,59598,2022-10-28 07:51:56.377,2022-10-28 11:51:41.380,253.6
1175,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:52:25.027,59593,2022-10-28 07:51:56.377,2022-10-28 11:52:10.907,253.6
1176,30152          ,"3000 VALV.MICROM 1/2"" 350 LTS/H.",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738308,2022-10-28 11:52:54.523,59596,2022-10-28 07:51:56.377,2022-10-28 11:52:42.483,253.6
1177,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:02:48.503,59415,2022-11-07 07:05:53.667,2022-11-07 08:02:11.047,1078.0004624633882
1178,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:03:31.470,59410,2022-11-07 07:05:53.667,2022-11-07 08:03:09.673,1078.0004624633882
1179,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:05:39.117,59411,2022-11-07 07:05:53.667,2022-11-07 08:05:10.600,1078.0004624633882
1180,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:07:15.943,59412,2022-11-07 07:05:53.667,2022-11-07 08:06:54.940,1078.0004624633882
1181,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:12:31.830,59413,2022-11-07 07:05:53.667,2022-11-07 08:12:11.603,1078.0004624633882
1182,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:13:09.737,59414,2022-11-07 07:05:53.667,2022-11-07 08:12:51.330,1078.0004624633882
1183,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:13:49.103,59416,2022-11-07 07:05:53.667,2022-11-07 08:13:28.017,1078.0004624633882
1184,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:14:37.670,59417,2022-11-07 07:05:53.667,2022-11-07 08:14:17.373,1078.0004624633882
1185,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:15:21.273,59418,2022-11-07 07:05:53.667,2022-11-07 08:14:57.787,1078.0004624633882
1186,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:16:09.140,59419,2022-11-07 07:05:53.667,2022-11-07 08:15:39.163,1078.0004624633882
1187,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:16:56.610,59420,2022-11-07 07:05:53.667,2022-11-07 08:16:33.943,1078.0004624633882
1188,9115B7M7HA,"9100 1/2"" BSP M-H-H sello Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738347,738268,2022-11-07 08:17:42.293,59421,2022-11-07 07:05:53.667,2022-11-07 08:17:14.680,1078.0004624633882
1189,1827X7M7HAM1110,"1800 1""x1.1/2"" BSP(M)xBSP(H).",1.0,[0. 0. 0. ... 0. 0. 0.],738345,738321,2022-11-11 10:34:05.780,59656,2022-11-11 06:59:35.720,2022-11-11 10:33:46.760,1037.0
1190,1827X7M7HAM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H).",1.0,[0. 0. 0. ... 0. 0. 0.],738344,738308,2022-11-09 12:06:54.007,59599,2022-11-09 07:12:57.480,2022-11-09 12:06:42.297,494.4
1191,1827X7M7HAM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H).",1.0,[0. 0. 0. ... 0. 0. 0.],738344,738308,2022-11-09 12:07:20.727,59600,2022-11-09 07:12:57.480,2022-11-09 12:07:09.570,494.4
1192,1827XZC7HAM1214,"1800 1""x1.1/2"" CLAMPxBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738344,738308,2022-11-09 12:06:27.010,59601,2022-11-09 07:12:57.480,2022-11-09 12:06:13.863,972.8
1193,1827XZC7HAM1214,"1800 1""x1.1/2"" CLAMPxBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738344,738308,2022-11-09 12:05:58.590,59602,2022-11-09 00:00:00.000,2022-11-09 12:05:43.383,972.8
1194,2828D2R1RTB3116,"2800 1""D2"" 300(RF)x150(RF) sello de Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738342,738301,2022-11-04 15:59:59.860,59586,2022-11-04 08:24:41.477,2022-11-04 15:58:25.737,1002.4
1195,2828D2R1RTB3116,"2800 1""D2"" 300(RF)x150(RF) sello de Buna-N",1.0,[0. 0. 0. ... 0. 0. 0.],738342,738301,2022-11-04 16:06:04.740,59587,2022-11-04 08:24:41.477,2022-11-04 16:05:46.400,1002.4
1196,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738341,738315,2022-10-19 14:50:56.030,59620,2022-10-19 07:04:54.247,2022-10-19 14:50:21.793,677.6
1197,2828E2R1RAM1012,"2800 1""E2"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738340,738308,2022-10-26 15:38:32.917,59605,2022-10-26 00:00:00.000,2022-10-26 15:38:13.240,1002.4
1198,2442J1R1RJM3110,"2400 2""J3"" 150(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738337,738361,2022-11-01 12:11:10.903,59570,2022-11-01 00:00:00.000,2022-11-01 12:10:59.177,1844.0
1199,2871T2R1RAM1013,"2800 8""T10"" 300(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738337,738281,2022-10-21 08:20:30.360,59505,2022-10-21 00:00:00.000,2022-10-21 08:20:12.317,12647.0
1200,3515C4Z1,"AC-900 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],738337,738281,2022-12-14 15:07:27.400,59503,2022-12-14 11:35:03.240,2022-12-14 15:07:14.750,612.0
1201,3515C4Z1,"AC-900 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],738337,738281,2022-12-14 15:07:58.793,59504,2022-12-14 11:35:03.240,2022-12-14 15:07:42.853,612.0
1202,1821X8M7HSM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738336,738315,2022-10-24 11:50:53.807,59623,2022-10-24 06:59:24.483,2022-10-24 11:50:23.587,488.7
1203,1821X8M7HSM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738336,738315,2022-10-24 11:50:05.860,59624,2022-10-24 06:59:24.483,2022-10-24 11:49:32.753,488.7
